序號,縣市,測站,監測日期,監測時間,污染物,污染程度,PSI值,二氧化硫(ppb),一氧化碳(ppm),臭氧(ppb),懸浮微粒(μg/m3),細懸浮微粒(μg/m3),二氧化氮(ppb),風速(m/sec),AQI值,臭氧8小時移動平均(ppb),氮氧化物(ppb)(NOx),一氧化氮(ppb)(NO),風向(degrees),一氧化碳8小時移動平均(ppb),懸浮微粒移動平均值(μg/m3),細懸浮微粒移動平均值(μg/m3)
1,臺北市,古亭,2019/12/31,23時,,良好,,1.5,0.27,33,28,10,7.9,1.5,43,29,8,0,83,0,24,13
2,臺北市,古亭,2019/12/31,22時,,良好,,1.4,0.25,36,23,11,7.3,2,46,28,7,0,82,0,23,14
3,臺北市,古亭,2019/12/31,21時,,良好,,1.6,0.24,38,22,10,7.9,2.8,49,27,9,1,81,0,24,15
4,臺北市,古亭,2019/12/31,20時,細懸浮微粒,普通,,2,0.32,31,21,15,14,2.4,53,26,14,1,68,0,25,16
5,臺北市,古亭,2019/12/31,19時,細懸浮微粒,普通,,2.8,0.41,26,25,18,19,2.2,53,26,20,1,82,0,25,16
6,臺北市,古亭,2019/12/31,18時,細懸浮微粒,普通,,3.3,0.45,25,32,18,21,1.6,52,26,23,2,84,0,25,16
7,臺北市,古亭,2019/12/31,17時,,良好,,,,,,,,,49,26,,,,1,23,15
8,臺北市,古亭,2019/12/31,17時,,良好,,2.5,0.45,23,32,20,22,1.7,49,26,24,2,71,1,23,15
9,臺北市,古亭,2019/12/31,16時,,良好,,2.3,0.42,22,31,19,20,1.9,45,26,22,2,70,1,20,14
10,臺北市,古亭,2019/12/31,15時,,良好,,2.4,0.46,24,28,16,20,1.9,39,27,22,3,69,1,17,12
11,臺北市,古亭,2019/12/31,14時,,良好,,2.1,0.45,28,24,16,17,2.1,35,28,19,2,75,1,14,11
12,臺北市,古亭,2019/12/31,13時,,良好,,2,0.46,29,19,16,15,2.4,30,30,17,2,54,1,12,9
13,臺北市,古亭,2019/12/31,12時,,良好,,1.8,0.46,28,16,11,16,2.7,30,32,18,2,72,1,10,8
14,臺北市,古亭,2019/12/31,11時,,良好,,1.7,0.44,30,11,10,15,1.4,31,34,17,2,52,0,9,7
15,臺北市,古亭,2019/12/31,10時,,良好,,1.7,0.5,28,15,8,18,1.6,33,36,20,2,60,0,8,7
16,臺北市,古亭,2019/12/31,09時,,良好,,1.7,0.6,23,8,8,20,1.4,34,37,23,3,61,0,6,6
17,臺北市,古亭,2019/12/31,08時,,良好,,1.7,0.57,24,13,9,20,1,36,39,21,1,104,0,6,5
18,臺北市,古亭,2019/12/31,07時,,良好,,1.6,0.41,36,7,8,12,1.1,37,40,12,0,76,0,5,4
19,臺北市,古亭,2019/12/31,06時,,良好,,1.5,0.37,44,4,6,5.6,1.3,36,39,6,0,60,0,5,3
20,臺北市,古亭,2019/12/31,05時,,良好,,1.4,0.36,46,2,2,5,1.7,33,36,5,0,60,0,5,3
21,臺北市,古亭,2019/12/31,04時,,良好,,1.5,0.34,44,2,2,5.3,1.9,30,32,6,0,48,0,6,3
22,臺北市,古亭,2019/12/31,03時,,良好,,1.5,0.32,43,4,3,5.5,1.6,25,27,6,0,91,1,6,4
23,臺北市,古亭,2019/12/31,02時,,良好,,1.7,0.31,41,7,2,5.7,1.5,20,22,6,0,58,1,7,4
24,臺北市,古亭,2019/12/31,01時,,良好,,0.9,0.38,36,5,2,7.4,1.6,17,18,9,1,56,1,7,5
25,臺北市,古亭,2019/12/31,00時,,良好,,0.1,0.45,32,3,4,11,1.2,16,14,13,2,110,1,8,5
26,臺北市,古亭,2019/12/30,23時,,良好,,0.3,0.52,28,5,5,14,1,17,11,16,2,178,1,10,5
27,臺北市,古亭,2019/12/30,22時,,良好,,0.5,0.61,19,8,4,18,1.4,17,9,21,3,51,1,10,5
28,臺北市,古亭,2019/12/30,21時,,良好,,0.8,0.62,13,8,3,25,1.7,24,8,29,3,64,1,10,6
29,臺北市,古亭,2019/12/30,20時,,良好,,1,0.67,7.4,13,3,30,1.1,28,7,37,7,57,1,12,6
30,臺北市,古亭,2019/12/30,19時,,良好,,1,0.81,2.5,9,4,36,0.5,34,7,53,17,199,1,11,7
31,臺北市,古亭,2019/12/30,18時,,良好,,0.9,0.68,4.8,9,6,33,0.9,31,7,40,8,60,1,13,8
32,臺北市,古亭,2019/12/30,17時,,良好,,1.2,0.49,6.9,15,7,28,1,26,7,36,7,307,1,14,8
33,臺北市,古亭,2019/12/30,16時,,良好,,1.3,0.58,8.3,13,7,34,1.8,32,7,45,11,342,1,14,8
34,臺北市,古亭,2019/12/30,15時,,良好,,1.6,0.75,6.5,21,9,38,1,36,6,59,20,47,1,16,9
35,臺北市,古亭,2019/12/30,14時,,良好,,1.6,0.59,14,12,9,28,0.6,27,6,41,13,126,1,14,8
36,臺北市,古亭,2019/12/30,13時,,良好,,2.2,0.74,6.6,18,8,33,1.1,31,4,54,21,344,1,14,8
37,臺北市,古亭,2019/12/30,12時,,良好,,2.9,1.57,3.6,27,17,45,0.7,42,4,107,62,337,1,13,8
38,臺北市,古亭,2019/12/30,11時,,良好,,1.6,0.88,4.2,16,7,29,1.1,27,5,62,33,230,1,9,5
39,臺北市,古亭,2019/12/30,10時,,良好,,1.5,0.82,4.8,10,8,30,0.5,28,5,54,25,332,1,8,5
40,臺北市,古亭,2019/12/30,09時,,良好,,1.3,1.09,4.2,14,4,33,1.4,31,7,63,30,139,1,7,5
41,臺北市,古亭,2019/12/30,08時,,良好,,0.9,0.59,5.9,9,4,26,0.5,25,8,42,16,134,1,6,6
42,臺北市,古亭,2019/12/30,07時,,良好,,1.2,0.41,4.2,7,6,18,0.6,22,7,27,9,194,1,7,7
43,臺北市,古亭,2019/12/30,06時,,良好,,1.5,0.63,2,9,7,22,1.1,22,7,37,15,100,1,8,7
44,臺北市,古亭,2019/12/30,05時,,良好,,0.7,0.42,6.2,5,2,17,0.7,23,7,20,3,262,1,9,7
45,臺北市,古亭,2019/12/30,04時,,良好,,0.6,0.44,5.4,5,4,19,0.5,27,7,23,4,195,1,9,8
46,臺北市,古亭,2019/12/30,03時,,良好,,0.5,0.39,9.6,5,3,17,0.5,27,6,19,2,318,1,10,8
47,臺北市,古亭,2019/12/30,02時,,良好,,0.7,0.28,20,6,5,11,0.7,30,5,12,2,302,1,11,9
48,臺北市,古亭,2019/12/30,01時,,良好,,1.9,0.56,9.4,8,8,25,1,33,3,37,12,89,1,13,10
49,臺北市,古亭,2019/12/30,00時,,良好,,2.7,0.63,2.3,10,3,29,0.4,41,3,44,14,206,1,16,13
50,臺北市,古亭,2019/12/29,23時,細懸浮微粒,普通,,3,0.51,3.1,3,6,28,0.6,52,3,36,7,262,1,18,16
51,臺北市,古亭,2019/12/29,22時,細懸浮微粒,普通,,4.1,0.94,2,16,12,30,1.6,56,3,73,44,63,1,20,17
52,臺北市,古亭,2019/12/29,21時,細懸浮微粒,普通,,4.7,1.67,2.2,24,25,34,0.4,57,4,128,94,190,1,20,18
53,臺北市,古亭,2019/12/29,20時,,良好,,4.3,1.68,2.4,27,27,35,0.4,50,5,122,87,81,1,19,15
54,臺北市,古亭,2019/12/29,19時,,良好,,3.2,1.1,2,17,15,32,1,40,5,83,51,242,1,17,12
55,臺北市,古亭,2019/12/29,18時,,良好,,2.9,1.1,2,21,18,35,0.4,39,5,83,47,305,1,17,12
56,臺北市,古亭,2019/12/29,17時,,良好,,2.2,0.76,4.2,18,10,31,0.5,34,5,47,16,225,1,16,10
57,臺北市,古亭,2019/12/29,16時,,良好,,2.2,0.62,6.9,16,11,27,0.4,33,5,37,10,125,1,15,10
58,臺北市,古亭,2019/12/29,15時,,良好,,2.4,0.73,5.9,21,15,31,0.7,32,5,44,14,87,1,15,10
59,臺北市,古亭,2019/12/29,14時,,良好,,2.5,0.63,7.4,18,11,29,0.6,30,6,38,10,179,1,14,9
60,臺北市,古亭,2019/12/29,13時,,良好,,3.1,0.63,6.3,16,12,25,0.6,28,7,36,11,227,1,13,9
61,臺北市,古亭,2019/12/29,12時,,良好,,5.2,0.59,4.6,17,12,24,0.6,24,9,40,16,193,1,12,8
62,臺北市,古亭,2019/12/29,11時,,良好,,3.5,0.84,3.6,16,13,26,1,25,13,54,28,261,1,10,6
63,臺北市,古亭,2019/12/29,10時,,良好,,2.8,0.84,3.4,13,8,24,0.5,23,17,50,26,287,0,8,4
64,臺北市,古亭,2019/12/29,09時,,良好,,2.8,0.56,3.7,14,7,22,0.4,21,21,33,10,258,0,7,4
65,臺北市,古亭,2019/12/29,08時,,良好,,1.5,0.49,7.6,7,3,20,1.2,23,25,25,5,239,0,6,3
66,臺北市,古亭,2019/12/29,07時,,良好,,1.2,0.43,9.2,8,3,19,0.7,26,28,24,4,180,0,6,3
67,臺北市,古亭,2019/12/29,06時,,良好,,0.9,0.33,17,5,3,13,0.8,29,31,13,1,211,0,6,3
68,臺北市,古亭,2019/12/29,05時,,良好,,1,0.24,26,5,3,7,0.4,31,33,7,0,178,0,7,3
69,臺北市,古亭,2019/12/29,03時,,良好,,1,0.24,36,6,2,5.1,1,31,33,6,0,61,0,8,4
70,臺北市,古亭,2019/12/29,02時,,良好,,0.9,0.21,37,10,3,4.8,0.9,30,32,5,0,79,0,9,4
71,臺北市,古亭,2019/12/29,01時,,良好,,0.7,0.31,35,13,3,7.8,1.3,29,31,9,1,71,0,8,4
72,臺北市,古亭,2019/12/29,00時,,良好,,1.3,0.3,34,7,3,8.6,0.7,29,31,10,1,63,0,8,4
73,臺北市,古亭,2019/12/28,23時,,良好,,1.2,0.36,29,9,3,14,1.2,29,31,15,1,69,0,10,5
74,臺北市,古亭,2019/12/28,22時,,良好,,1.1,0.32,33,7,3,9.5,1.3,31,33,10,1,30,0,11,6
75,臺北市,古亭,2019/12/28,21時,,良好,,1.3,0.35,30,11,4,12,1.8,31,33,13,1,69,0,11,6
76,臺北市,古亭,2019/12/28,20時,,良好,,1.2,0.34,32,14,7,11,1.4,31,33,12,1,61,0,12,6
77,臺北市,古亭,2019/12/28,19時,,良好,,1.2,0.4,27,8,8,16,1.7,31,33,18,2,65,0,12,6
78,臺北市,古亭,2019/12/28,18時,,良好,,1.2,0.39,28,9,6,14,1.7,31,34,16,1,67,0,13,6
79,臺北市,古亭,2019/12/28,17時,,良好,,1.1,0.31,35,14,5,8.5,1.9,31,34,10,1,74,0,15,6
80,臺北市,古亭,2019/12/28,16時,,良好,,0.9,0.28,38,11,6,6.3,2.2,31,34,7,1,75,0,16,6
81,臺北市,古亭,2019/12/28,15時,,良好,,0.9,0.28,39,11,2,5.7,2.6,31,34,7,2,69,0,17,7
82,臺北市,古亭,2019/12/28,14時,,良好,,1.1,0.33,35,17,5,8.9,2.9,31,34,12,3,88,0,19,7
83,臺北市,古亭,2019/12/28,13時,,良好,,1.4,0.36,32,16,8,12,2,31,34,16,4,62,0,20,8
84,臺北市,古亭,2019/12/28,12時,,良好,,1.3,0.36,32,19,8,12,2.7,32,35,16,4,61,0,21,8
85,臺北市,古亭,2019/12/28,11時,,良好,,1.2,0.34,32,21,5,12,2.3,34,37,15,3,58,0,22,8
86,臺北市,古亭,2019/12/28,10時,,良好,,1.2,0.33,32,18,6,11,2.2,35,38,14,3,58,0,22,9
87,臺北市,古亭,2019/12/28,09時,,良好,,0.9,0.3,34,20,7,8.5,1.9,37,40,10,2,56,0,22,9
88,臺北市,古亭,2019/12/28,08時,,良好,,0.9,0.27,35,23,8,6.9,2,38,41,8,1,79,0,23,10
89,臺北市,古亭,2019/12/28,07時,,良好,,0.9,0.25,36,19,9,5.2,1.8,39,42,6,1,80,0,24,11
90,臺北市,古亭,2019/12/28,06時,,良好,,0.9,0.24,40,17,9,2.3,1.8,39,42,3,0,86,0,25,11
91,臺北市,古亭,2019/12/28,05時,,良好,,0.9,0.23,43,25,10,2.5,1.4,38,41,3,1,105,0,27,12
92,臺北市,古亭,2019/12/28,04時,,良好,,0.9,0.23,42,24,10,2.9,2,40,41,3,0,96,0,28,12
93,臺北市,古亭,2019/12/28,03時,,良好,,1,0.24,43,24,12,3,1.6,41,41,3,0,93,0,30,13
94,臺北市,古亭,2019/12/28,02時,,良好,,0.9,0.23,44,28,10,2.9,2,42,41,3,0,88,0,31,13
95,臺北市,古亭,2019/12/28,01時,,良好,,0.5,0.17,43,29,13,4.4,1.8,45,40,5,1,93,0,31,14
96,臺北市,古亭,2019/12/28,00時,,良好,,0.7,0.18,42,30,10,5.5,2.8,47,39,6,0,79,0,32,15
97,臺北市,古亭,2019/12/27,23時,,良好,,0.6,0.22,38,26,11,8.7,2.7,50,38,9,1,82,0,33,15
98,臺北市,古亭,2019/12/27,22時,細懸浮微粒,普通,,0.6,0.25,37,26,16,8.5,1.4,52,37,9,1,115,0,35,16
99,臺北市,古亭,2019/12/27,21時,細懸浮微粒,普通,,0.8,0.24,39,29,15,7.5,1.9,53,36,8,1,87,0,37,16
100,臺北市,古亭,2019/12/27,20時,細懸浮微粒,普通,,0.9,0.27,41,32,14,8.8,2.2,55,34,10,1,98,0,39,17
101,臺北市,古亭,2019/12/27,19時,細懸浮微粒,普通,,1,0.32,40,35,13,12,2.5,57,32,13,1,81,1,41,18
102,臺北市,古亭,2019/12/27,18時,細懸浮微粒,普通,,1,0.36,40,36,17,14,2.4,59,29,15,1,85,1,42,19
103,臺北市,古亭,2019/12/27,17時,細懸浮微粒,普通,,1.3,0.42,32,42,18,21,1.7,60,26,23,2,69,1,42,19
104,臺北市,古亭,2019/12/27,16時,細懸浮微粒,普通,,1.4,0.41,34,44,18,20,2.1,60,24,21,2,59,1,42,19
105,臺北市,古亭,2019/12/27,15時,細懸浮微粒,普通,,1.6,0.47,30,48,19,22,1.7,60,22,25,3,73,1,42,19
106,臺北市,古亭,2019/12/27,14時,細懸浮微粒,普通,,1.4,0.5,31,45,21,18,2,59,21,21,2,64,1,40,19
107,臺北市,古亭,2019/12/27,13時,細懸浮微粒,普通,,1.3,0.57,27,48,22,19,1.4,58,20,22,3,80,1,39,18
108,臺北市,古亭,2019/12/27,12時,細懸浮微粒,普通,,1.4,0.65,19,49,18,23,1.5,57,19,27,4,67,1,36,18
109,臺北市,古亭,2019/12/27,11時,細懸浮微粒,普通,,1.4,0.68,19,41,20,21,1.4,58,20,26,5,64,1,34,18
110,臺北市,古亭,2019/12/27,10時,細懸浮微粒,普通,,1.3,0.69,18,42,22,20,1.8,54,21,24,4,76,1,30,17
111,臺北市,古亭,2019/12/27,09時,,良好,,1.1,0.75,16,37,24,21,1.8,49,22,25,4,74,1,27,15
112,臺北市,古亭,2019/12/27,08時,,良好,,1,0.72,16,35,23,20,1.4,42,23,24,3,54,1,24,13
113,臺北市,古亭,2019/12/27,07時,,良好,,0.9,0.59,20,23,11,12,1.3,36,25,14,1,88,1,22,11
114,臺北市,古亭,2019/12/27,06時,,良好,,0.8,0.53,23,21,12,8.7,1.1,36,25,10,1,69,1,22,11
115,臺北市,古亭,2019/12/27,05時,,良好,,0.8,0.51,24,21,11,8.2,1.2,35,26,9,0,47,1,23,11
116,臺北市,古亭,2019/12/27,04時,,良好,,0.7,0.48,25,24,12,7.9,1.2,35,26,8,1,61,1,24,11
117,臺北市,古亭,2019/12/27,03時,,良好,,0.8,0.47,26,23,10,8.1,1.2,35,26,9,1,92,1,24,11
118,臺北市,古亭,2019/12/27,02時,,良好,,0.9,0.45,27,23,8,7.6,1.7,38,25,9,1,73,1,24,12
119,臺北市,古亭,2019/12/27,01時,,良好,,1.1,0.46,26,27,10,9.7,2.6,42,26,10,0,64,1,24,13
120,臺北市,古亭,2019/12/27,00時,,良好,,0.5,0.45,26,22,10,11,2.1,44,26,12,0,66,1,24,14
121,臺北市,古亭,2019/12/26,23時,,良好,,0.7,0.47,26,20,11,14,1.8,47,26,15,1,69,1,25,15
122,臺北市,古亭,2019/12/26,22時,細懸浮微粒,普通,,0.7,0.48,25,19,11,16,2,52,26,17,1,52,1,27,16
123,臺北市,古亭,2019/12/26,21時,細懸浮微粒,普通,,0.8,0.5,29,23,12,15,1.7,53,26,16,1,62,1,28,17
124,臺北市,古亭,2019/12/26,20時,細懸浮微粒,普通,,1.1,0.58,25,21,10,18,2.7,54,26,20,2,57,1,28,17
125,臺北市,古亭,2019/12/26,19時,細懸浮微粒,普通,,1,0.66,17,26,15,23,3.1,56,25,25,2,54,1,29,18
126,臺北市,古亭,2019/12/26,18時,細懸浮微粒,普通,,1.1,0.47,32,24,17,20,2,59,24,21,1,51,1,30,19
127,臺北市,古亭,2019/12/26,17時,細懸浮微粒,普通,,1.1,0.41,31,24,16,20,2.1,60,20,22,2,53,1,31,19
128,臺北市,古亭,2019/12/26,16時,細懸浮微粒,普通,,1.5,0.45,25,30,17,24,1.5,62,17,28,4,58,1,33,20
129,臺北市,古亭,2019/12/26,15時,細懸浮微粒,普通,,2.2,0.55,25,41,28,29,1.1,66,15,34,5,49,1,35,22
130,臺北市,古亭,2019/12/26,14時,細懸浮微粒,普通,,2.3,0.62,23,39,23,31,0.8,64,12,35,5,222,1,34,21
131,臺北市,古亭,2019/12/26,13時,細懸浮微粒,普通,,2.8,0.66,30,37,25,30,1.2,58,10,35,5,345,1,32,18
132,臺北市,古亭,2019/12/26,12時,細懸浮微粒,普通,,3.6,1.14,14,57,34,50,0.9,51,7,69,19,308,1,28,16
133,臺北市,古亭,2019/12/26,11時,,良好,,2.7,0.93,8.9,38,26,32,0.6,36,6,49,17,292,1,21,11
134,臺北市,古亭,2019/12/26,10時,,良好,,2,0.71,6.6,31,10,22,0.4,25,6,41,19,233,0,17,8
135,臺北市,古亭,2019/12/26,09時,,良好,,1.5,0.76,5.1,15,6,16,1.5,25,6,40,24,136,0,15,8
136,臺北市,古亭,2019/12/26,08時,,良好,,0.9,0.47,4.7,15,7,12,1.1,28,6,25,13,223,0,15,9
137,臺北市,古亭,2019/12/26,07時,,良好,,1.1,0.33,4.4,11,6,13,1.6,29,6,19,6,174,0,16,9
138,臺北市,古亭,2019/12/26,06時,,良好,,1,0.28,5.6,11,8,11,1.1,31,5,12,1,142,1,16,10
139,臺北市,古亭,2019/12/26,05時,,良好,,1.1,0.26,7.3,17,10,11,0.6,32,5,11,0,208,1,17,10
140,臺北市,古亭,2019/12/26,04時,,良好,,1.1,0.32,6.6,15,8,13,0.9,33,5,14,1,145,1,17,10
141,臺北市,古亭,2019/12/26,03時,,良好,,1,0.3,8.5,12,7,10,0.9,32,4,12,2,213,1,18,10
142,臺北市,古亭,2019/12/26,02時,,良好,,1.2,0.4,6,11,10,16,0.5,33,5,17,2,202,1,20,10
143,臺北市,古亭,2019/12/26,01時,,良好,,1.5,0.65,3.9,22,13,23,0.8,34,7,34,11,158,1,22,11
144,臺北市,古亭,2019/12/26,00時,,良好,,2,0.71,2.6,20,5,25,0.9,34,10,38,14,211,1,21,10
145,臺北市,古亭,2019/12/25,23時,,良好,,2.1,0.82,2.4,21,9,27,1,40,14,41,15,138,1,23,12
146,臺北市,古亭,2019/12/25,22時,,良好,,2.9,0.94,2.7,23,14,31,0.9,42,18,52,20,131,1,23,13
147,臺北市,古亭,2019/12/25,21時,,良好,,4.9,0.89,3.4,20,13,41,0.5,39,20,54,14,214,1,23,12
148,臺北市,古亭,2019/12/25,20時,,良好,,4.1,0.94,5.2,29,18,44,0.5,42,23,52,8,315,1,23,12
149,臺北市,古亭,2019/12/25,19時,,良好,,4,0.73,15,23,14,36,0.5,34,26,39,3,106,1,21,10
150,臺北市,古亭,2019/12/25,18時,,良好,,2.5,0.55,23,20,9,30,0.8,28,29,31,2,59,0,21,8
151,臺北市,古亭,2019/12/25,17時,,良好,,2.1,0.44,28,21,14,26,1.9,27,29,28,3,61,0,21,8
152,臺北市,古亭,2019/12/25,16時,,良好,,3.2,0.42,29,21,7,24,1.6,26,28,28,4,58,0,21,7
153,臺北市,古亭,2019/12/25,15時,,良好,,1.7,0.38,35,21,6,18,1.5,23,25,22,4,55,1,21,7
154,臺北市,古亭,2019/12/25,14時,,良好,,,,,18,8,,1.6,21,22,,,47,0,20,7
155,臺北市,古亭,2019/12/25,13時,,良好,,,,,23,,,1.5,22,24,,,59,0,23,7
156,臺北市,古亭,2019/12/25,12時,,良好,,,,,21,,,2,24,26,,,65,0,22,7
157,臺北市,古亭,2019/12/25,11時,,良好,,,,,,6,,1.2,25,27,,,63,0,22,7
158,臺北市,古亭,2019/12/25,10時,,良好,,1.8,0.45,24,31,9,20,2.2,27,29,25,5,55,0,21,7
159,臺北市,古亭,2019/12/25,09時,,良好,,1.9,0.49,23,16,6,21,1.3,28,30,25,4,56,0,19,6
160,臺北市,古亭,2019/12/25,08時,,良好,,1.9,0.5,18,22,4,24,1.8,30,32,28,4,58,0,20,6
161,臺北市,古亭,2019/12/25,07時,,良好,,1.4,0.35,24,18,6,18,1.1,31,34,19,1,65,0,19,7
162,臺北市,古亭,2019/12/25,06時,,良好,,1.3,0.28,31,20,7,10,0.7,31,34,11,0,67,0,20,7
163,臺北市,古亭,2019/12/25,05時,,良好,,0.9,0.26,35,18,5,7.9,0.6,31,34,8,0,176,0,20,7
164,臺北市,古亭,2019/12/25,04時,,良好,,0.9,0.25,38,17,5,6.5,1.1,31,33,7,0,69,0,22,8
165,臺北市,古亭,2019/12/25,03時,,良好,,1.3,0.28,37,19,6,7.7,0.6,29,31,8,0,139,0,22,9
166,臺北市,古亭,2019/12/25,02時,,良好,,1.3,0.29,38,22,8,8.2,1.2,29,29,9,1,74,0,22,9
167,臺北市,古亭,2019/12/25,01時,,良好,,1.8,0.34,37,27,12,9.5,0.9,30,27,10,1,74,0,22,9
168,臺北市,古亭,2019/12/25,00時,,良好,,1.6,0.38,31,19,9,16,1.3,29,27,17,1,82,1,21,9
169,臺北市,古亭,2019/12/24,23時,,良好,,1.4,0.43,29,18,5,18,1,33,28,19,1,54,1,24,10
170,臺北市,古亭,2019/12/24,22時,,良好,,1.5,0.41,30,19,6,17,1.2,37,29,18,1,59,0,25,11
171,臺北市,古亭,2019/12/24,21時,,良好,,1.4,0.46,24,17,9,21,0.8,38,30,22,1,109,0,26,12
172,臺北市,古亭,2019/12/24,20時,,良好,,1.5,0.53,21,26,12,25,0.9,38,31,27,2,132,0,28,12
173,臺北市,古亭,2019/12/24,19時,,良好,,1.2,0.54,22,25,9,26,0.7,37,30,28,2,107,1,27,12
174,臺北市,古亭,2019/12/24,18時,,良好,,1.3,0.45,27,27,11,20,0.9,38,29,22,2,85,1,27,12
175,臺北市,古亭,2019/12/24,17時,,良好,,1.3,0.4,35,30,11,16,0.9,40,26,17,1,63,1,26,12
176,臺北市,古亭,2019/12/24,16時,,良好,,1.2,0.39,38,21,12,14,1.4,41,22,16,2,301,1,25,13
177,臺北市,古亭,2019/12/24,15時,,良好,,1.3,0.36,39,29,11,12,1.5,47,18,14,2,315,1,29,14
178,臺北市,古亭,2019/12/24,14時,細懸浮微粒,普通,,1.5,0.38,37,25,18,12,1.5,51,13,14,3,358,1,29,16
179,臺北市,古亭,2019/12/24,13時,,良好,,2.2,0.47,27,36,14,18,1.8,43,9,23,5,328,1,28,13
180,臺北市,古亭,2019/12/24,12時,,良好,,4.3,0.93,14,51,29,37,1.7,38,7,58,20,307,1,25,12
181,臺北市,古亭,2019/12/24,11時,,良好,,4.6,1.07,12,37,20,37,1,35,5,56,19,31,1,19,8
182,臺北市,古亭,2019/12/24,10時,,良好,,2.8,0.83,8.5,20,4,22,1.2,21,5,46,23,290,1,15,6
183,臺北市,古亭,2019/12/24,09時,,良好,,2.2,0.9,3.8,17,4,15,0.6,19,4,54,39,156,1,12,6
184,臺北市,古亭,2019/12/24,08時,,良好,,1.8,0.73,2.2,15,4,13,0.6,21,6,49,36,156,1,12,6
185,臺北市,古亭,2019/12/24,07時,,良好,,1.6,0.45,1.8,11,7,13,0.8,22,8,28,15,225,0,12,7
186,臺北市,古亭,2019/12/24,06時,,良好,,1.2,0.31,5.1,8,6,8.9,1.2,23,10,11,3,136,1,13,7
187,臺北市,古亭,2019/12/24,05時,,良好,,1.6,0.37,4.9,11,7,12,0.6,24,11,14,2,204,1,15,8
188,臺北市,古亭,2019/12/24,04時,,良好,,1.6,0.48,3.7,12,6,17,0.4,25,13,19,3,194,1,15,8
189,臺北市,古亭,2019/12/24,03時,,良好,,1.9,0.46,7.2,17,9,17,0.7,26,15,19,2,196,1,15,8
190,臺北市,古亭,2019/12/24,02時,,良好,,1.8,0.55,5,17,9,22,1.2,25,17,24,2,242,1,15,8
191,臺北市,古亭,2019/12/24,01時,,良好,,1.4,0.49,16,7,7,19,0.8,24,19,20,1,190,1,15,7
192,臺北市,古亭,2019/12/24,00時,,良好,,2.5,0.4,24,10,8,16,0.5,22,20,17,1,196,1,17,7
193,臺北市,古亭,2019/12/23,23時,,良好,,3,0.55,15,19,8,27,0.9,25,21,29,2,75,1,19,6
194,臺北市,古亭,2019/12/23,22時,,良好,,2.8,0.64,12,15,7,31,0.5,29,23,33,2,219,1,19,6
195,臺北市,古亭,2019/12/23,21時,,良好,,2.3,0.54,19,16,4,25,0.8,24,26,27,2,61,0,21,6
196,臺北市,古亭,2019/12/23,20時,,良好,,2.1,0.58,19,21,6,27,0.8,25,27,29,2,101,0,22,7
197,臺北市,古亭,2019/12/23,19時,,良好,,1.9,0.52,24,21,8,22,1.2,26,28,23,2,66,0,22,7
198,臺北市,古亭,2019/12/23,18時,,良好,,2.6,0.5,20,27,7,26,1.1,27,29,28,2,121,0,22,7
199,臺北市,古亭,2019/12/23,17時,,良好,,3.3,0.4,27,24,10,21,1.3,27,29,22,2,65,0,21,6
200,臺北市,古亭,2019/12/23,16時,,良好,,3.8,0.35,33,23,8,14,1.7,26,28,16,2,45,0,20,6
201,臺北市,古亭,2019/12/23,15時,,良好,,4.5,0.35,33,20,6,15,1.8,24,26,17,3,60,0,19,5
202,臺北市,古亭,2019/12/23,14時,,良好,,3.7,0.34,35,21,5,12,2.7,23,25,15,3,65,0,19,5
203,臺北市,古亭,2019/12/23,13時,,良好,,2.6,0.38,29,18,7,16,2.1,23,25,21,5,47,0,18,5
204,臺北市,古亭,2019/12/23,12時,,良好,,3.1,0.39,26,20,3,17,1.1,23,25,21,4,80,0,18,4
205,臺北市,古亭,2019/12/23,11時,,良好,,2.2,0.41,26,19,3,16,1.3,24,26,21,5,78,0,18,5
206,臺北市,古亭,2019/12/23,10時,,良好,,2.6,0.48,22,20,4,20,1.6,24,26,25,5,67,0,17,5
207,臺北市,古亭,2019/12/23,09時,,良好,,2.9,0.53,19,22,7,22,2.1,25,27,27,5,53,0,16,5
208,臺北市,古亭,2019/12/23,08時,,良好,,,,,,,,,27,29,,,,0,14,4
209,臺北市,古亭,2019/12/23,07時,,設備維護,,,,,,,,,,,,,,,,
210,臺北市,古亭,2019/12/23,06時,,設備維護,,,,,,,,,,27,,,,0,,
211,臺北市,古亭,2019/12/23,05時,,良好,,,,,,,,,25,27,,,,0,14,5
212,臺北市,古亭,2019/12/23,04時,,良好,,1.7,0.29,31,13,3,5.5,0.7,24,26,6,0,95,0,14,5
213,臺北市,古亭,2019/12/23,03時,,良好,,,,,,,,,24,26,,,,0,14,6
214,臺北市,古亭,2019/12/23,02時,,良好,,1.7,0.32,29,14,6,7.5,1.6,23,25,8,1,66,0,14,6
215,臺北市,古亭,2019/12/23,02時,,良好,,,,,,,,,23,25,,,,0,14,6
216,臺北市,古亭,2019/12/23,01時,,良好,,1.1,0.33,27,15,4,9,1.3,23,25,10,1,82,0,14,6
217,臺北市,古亭,2019/12/23,00時,,良好,,0.1,0.34,27,14,4,11,1.5,24,25,12,2,83,0,16,7
218,臺北市,古亭,2019/12/22,23時,,良好,,0.7,0.38,23,14,4,13,1.4,27,24,15,2,72,0,17,8
